,Company,Date,Price,Share Total,Type,Price_m
361,nebag ag,20.06.2017,12011.0,1087,Sale,0.0
362,Bossard Holding AG,19.06.2017,102312.0,500,Sale,0.1
363,Castle Private Equity AG,19.06.2017,600.0,10000,Sale,0.0
364,Idorsia Ltd,19.06.2017,69765826.0,4859499,Purchase,69.8
365,Nestlé AG,19.06.2017,659661.0,21300,Sale,0.7
366,Schlatter Industries AG,19.06.2017,68754.0,1637,Sale,0.1
367,Tornos Holding AG,19.06.2017,20880.0,8000,Purchase,0.0
368,nebag ag,19.06.2017,21138.0,1913,Sale,0.0
369,Banque Cantonale Vaudoise,16.06.2017,282678.0,400,Sale,0.3
370,Banque Cantonale de Genève,16.06.2017,48125.0,308,Sale,0.0
371,Basilea Pharmaceutica AG,16.06.2017,50420.0,1025,Sale,0.1
372,Edisun Power Europe AG,16.06.2017,3517.0,68,Purchase,0.0
373,Nestlé AG,16.06.2017,164700.0,2000,Sale,0.2
374,Walliser Kantonalbank,16.06.2017,35132.0,391,Sale,0.0
375,APG SGA SA,15.06.2017,178780.0,380,Sale,0.2
376,Burkhalter Holding AG,15.06.2017,275626.0,2000,Sale,0.3
377,Evolva Holding SA,15.06.2017,55200.0,120000,Purchase,0.1
378,Alpine Select AG,14.06.2017,57720.0,3900,Purchase,0.1
379,Burkhalter Holding AG,14.06.2017,275505.0,2000,Sale,0.3
380,Comet Holding AG,14.06.2017,11950.0,100,Purchase,0.0
381,Investis Holding SA,14.06.2017,74859.0,1253,Purchase,0.1
382,Panalpina World Transport (Holding) Ltd.,14.06.2017,403185.0,3000,Sale,0.4
383,SGS SA,14.06.2017,90500.0,25000,Sale,0.1
384,Tornos Holding AG,14.06.2017,19575.0,7500,Purchase,0.0
385,nebag ag,14.06.2017,6525.0,600,Purchase,0.0
386,Burkhalter Holding AG,13.06.2017,351806.0,2600,Sale,0.4
